reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
0.32,82.28207397460938,21,41.083961486816406,38,"[3, 3, 2, 2, 4]","[5, 7, 2, 7, 3]",7,3,3,170
0.69,324.5329895019531,12,49.833011627197266,36,"[4, 4, 2, 3, 1]","[4, 7, 3, 2, 6]",3,1,0,171
-0.485,137.58892822265625,22,42.96409225463867,33,"[4, 5, 4, 3, 1]","[0, 4, 3, 5, 4]",2,1,4,172
0.4060055188834667,57.795196533203125,17,52.41722869873047,40,"[0, 3, 7, 4, 5]","[5, 5, 4, 5, 2]",4,2,4,173
-0.4875,370.53240966796875,19,58.79810333251953,39,"[4, 1, 6, 3, 9]","[4, 3, 4, 3, 2]",8,4,3,174
-0.375,121.98252868652344,24,52.060791015625,36,"[3, 3, 1, 6, 1]","[2, 1, 5, 8, 6]",7,3,2,175
-0.18,107.36392211914062,21,43.53664016723633,38,"[1, 4, 8, 4, 5]","[2, 3, 2, 3, 6]",4,2,4,176
0.86,81.23606872558594,25,41.05719757080078,32,"[4, 1, 2, 3, 5]","[3, 2, 4, 4, 4]",8,4,4,177
-0.45,121.7930679321289,26,50.42042922973633,34,"[4, 5, 4, 2, 5]","[1, 2, 3, 6, 2]",7,3,2,178
-0.435,102.50471496582031,22,41.53133773803711,34,"[5, 2, 8, 3, 4]","[3, 0, 1, 4, 4]",4,2,2,179
0.495,923.6295776367188,22,48.43571472167969,35,"[2, 4, 4, 3, 3]","[2, 3, 5, 3, 6]",9,4,4,180
-0.03,90.90636444091797,15,42.2353401184082,34,"[5, 4, 2, 4, 4]","[1, 1, 3, 4, 6]",9,4,2,181
0.575,259.9757080078125,20,36.29883575439453,38,"[0, 2, 4, 11, 2]","[6, 3, 3, 3, 4]",6,3,4,182
-0.48,46.98594665527344,19,36.025787353515625,36,"[4, 6, 6, 8, 0]","[3, 4, 1, 1, 3]",6,3,0,183
0.12,39.948673248291016,17,40.57222366333008,33,"[3, 3, 2, 7, 2]","[3, 6, 2, 2, 3]",6,3,2,184
-0.8803376875817776,110.58650970458984,16,31.508792877197266,30,"[3, 3, 3, 3, 8]","[3, 2, 1, 1, 3]",8,4,4,185
0.135,273.1505126953125,13,39.83769989013672,35,"[3, 3, 5, 2, 3]","[6, 3, 2, 4, 4]",1,0,1,186
0.645,102.19661712646484,26,38.1172981262207,38,"[8, 0, 5, 3, 4]","[2, 5, 2, 6, 3]",0,0,4,187
0.59,192.6387481689453,28,43.534156799316406,35,"[1, 4, 4, 5, 4]","[3, 3, 3, 5, 3]",6,3,4,188
0.645,37.98908615112305,17,35.57548141479492,34,"[5, 2, 4, 1, 4]","[4, 6, 4, 2, 2]",3,1,0,189
-9.675,103.52169036865234,19,30.32036781311035,35,"[5, 6, 1, 3, 1]","[7, 2, 5, 2, 3]",1,0,0,190
0.555,90.6354751586914,21,43.71897888183594,33,"[2, 2, 2, 4, 5]","[6, 3, 4, 1, 4]",1,0,2,191
-0.45,78.029296875,21,47.31013107299805,37,"[4, 3, 2, 4, 5]","[5, 4, 5, 3, 2]",8,4,0,192
-7.815,333.2893371582031,17,48.056236267089844,38,"[2, 4, 7, 5, 3]","[1, 3, 7, 2, 4]",5,2,1,193
0.105,86.74856567382812,13,53.39569854736328,35,"[3, 4, 3, 4, 4]","[8, 3, 3, 2, 1]",1,0,1,194
-0.255,510.1701965332031,13,45.173213958740234,36,"[2, 5, 1, 5, 6]","[3, 0, 5, 6, 3]",8,4,1,195
0.075,120.32059478759766,20,50.224403381347656,35,"[1, 2, 2, 4, 9]","[3, 5, 3, 2, 4]",8,4,3,196
-0.9,105.94933319091797,21,41.115779876708984,31,"[4, 4, 4, 4, 4]","[1, 3, 1, 5, 1]",7,3,3,197
-0.375,214.468994140625,20,47.50457763671875,39,"[5, 4, 6, 3, 5]","[3, 5, 2, 3, 3]",4,2,1,198
0.095,761.0919189453125,22,44.38884353637695,37,"[4, 8, 4, 2, 0]","[4, 4, 3, 5, 3]",2,1,4,199
1.0918576629459857,372.8814697265625,21,34.92168426513672,36,"[2, 0, 4, 2, 4]","[5, 4, 5, 5, 5]",9,4,4,200
-0.5619508786499501,207.4624786376953,19,43.00267028808594,35,"[4, 2, 1, 5, 1]","[3, 7, 4, 1, 7]",9,4,4,201
1.02,46.14479064941406,20,38.36845779418945,40,"[4, 2, 4, 5, 2]","[6, 8, 4, 3, 2]",3,1,0,202
